ID of reference,author,title,year,Journal,Objective(s),Country or Countries,City or municipality,Type of article,Type of study or analysis,Population,Sample size,Type of inequalities/inequities/,Method of inequalities/inequitie,Type of social stratification,PROGRESS-plus (https://methods.c,Main Results,Policy or intervention associate,Conclusions,Funding sources,Languages,Argentina,Brazil,Bolivia,Chile,Venezuela,Uruguay,Paraguay,Colombia,Ecuador,Peru,LAC,PresidencePR,SSEPR,RacePR,EthnicityPR,CulturePR,LanguagePR,EducationPR,GenderPR,OccupationPR,ReligionPR,SocCapitalPR,DiscriminationPR,TimeRelatPR,olderage,Poverty,Educationlevel,illiterate,indigenous,Female,Male,Transgender,Cisgender,Sexorient,Extrpover,Comorbidities,RiskFac,rural,urban,Gini,HumanDI,SVI,unemployed,socialdepriv,mobility,Healthinsur,uninsured,Socialsecurity,Index,placeresid,income,ethnicity,race,incidence,mortality,Neighborhood,SEstrata,overcrowd,Subsidised,Vulnerab,EducationIQ,SocioeconomicIQ,HealthIQ,GenderIQ,LabourIQ,GeographicIQ,RaceIQ,EthnicityIQ,TechnologicIQ,StructuralIQ,HousingIQ,PoliticsIQ,Social,OccupationIQ,SociospatialIQ,Spearman,Poisson,Interviews,Linear,Logistic,Regression,Fixedeff,Mixedeff,Randomef,Cox,negbinom,Multilevel,Descriptive,Multivariate,NA,ttest,prop,timeseries,Stratified,Kendallcor,temptrend,Geospatial,Chi2a,Chi2b,Chi2,Qualitative,Bivariate,Bayesian,Wilcoxon,KWallis,ExcessMortal,ANOVA,ANCOVA,KaplanMeier,ParticObserv,AlkireFoster,CochranArmitage,NoticingCollecT,GAMLSS,PraisWinsten,Fisherst,quasipoisson,clusteranaly,prevalratio,RelativeRisk,GroundedTh,SEIRmodel,GINIm,Theil,RII,SII,ConcentrIn,KNearNeig,KINDEX,NeuralN,RandomForest,VectorMach,totalmethods,Studytype,totalregres,RaceEthnicLanguageCulturePR
1,Ferreira et al. 2021,Uncovering the geographical disparities in organ donation and transplantation in brazil during the COVID-19 pandemic,2021,Transplant international.,"To analyze nationwide data from the Brazilian Organ Transplantation Association and Health Ministry on COVID-19 cases, organ donations, and solid organ transplants performed from January 1st to December 31st 2020",Brazil,-,Conference abstract,Retrospective cohort study,"COVID-19 cases, organ donations, and solid organ transplants (Data from the Brazilian Organ Transplantation Association and Health Ministry on COVID-19 cases, organ donations, and solid organ transplants)",It is not clear,Geographic/Socieconomic,Descriptive analysis through percentages,"Geographic - macro-regions: wealthiest (South, Southeast, and Midwest) / lowest-income (North and Northeast)",-Place of residence.-Socioeconomic status,"1. After three months of the first confirmed case, Brazil had suffered a decrease of 19% (wealthiest) and 30% (lowest-income) in organ donation and transplantation.2. Wealthiest states had decreased by 13% and 24% in organ donation and transplantation.3. Lowest-income states had reduced by 40% and 53% in organ donation and transplantation",It is not mentioned in this article,1. Pandemic exacerbated geographical disparities.2. Special attention should be focused on regions with less economic resources.3. Rescue measures for the time of the pandemic and for the long-term consequences,It does not specify,English,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Retrospective cohort study,0,0
2,Jardim and Buckeridge 2020,Análise sistêmica do município de São Paulo e suas implicações para o avanço dos casos de Covid-19,2020,Estudos Avançados,To apply the BioNetStat systemic tool to the census data of the city of São Paulo. .To build on previous work by Nery et al. (2019) that distinguished eight urban patterns.,Brazil,São Paulo,Original Research,Documentary analysis (primary and secondary data),Urban patterns and confirmed COVID cases,NA,Social,It does not directly measure inequalities (narrative synthesis),NA,-Social capital,"1. The expansion of Covid-19 in São Paulo may have followed the expected pattern that regions with a deficient urban structure in the city were proportionally more affected by the disease.2. In the case of the incidence of Covid-19 cases, the variable high-income head of household and literate head of household seem to have been the main determinants (Figure 6A)..3. In the case of the mobility subgroup, as expected, the increase in the number of trips and the average travel time proved to be important factors in determining the increase in Covid-19 cases and deaths in São Paulo.",It is not mentioned in this article,"1. The urban structure seems to have a preponderant role in determining the effects that extreme events may have on the city of São Paulo..2. In contrast to the artificial administrative divisions that exist today, the municipality of São Paulo is clearly a set of “cities” with very different vulnerabilities in response to external factors..3. If the systemic analyzes shown here prove to be robust in the face of other extreme events, perhaps it is time to rethink São Paulo's urban management, better adapting it to the current reality, that is, to its urban standards.",It does not specify,Portuguese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Documentary analysis (primary and secondary data),0,0
3,Segatore and Seca 2021,Sin un cuarto propio: trayectorias juveniles y cuidado infantil durante el aislamiento por Covid-19 en Mendoza (Argentina),2021,Ultima decada,To understand the experiences of young women who have performed unpaid child care work under this new context.,Argentina,Provincia de Mendoza,Original Research,Qualitative study,Young Women,Four interviews,Gender/Socioeconomic/Health,"The data analysis is explanatory / interpretive in nature. A detailed reading of the interviews was made, the data was organized, thematic coding, and its integration.",NA,-Gender/sex.-Socioeconomic status.-Personal characteristics associated with discrimination,"1. The testimonies allow to show not only the way in which the tasks are distributed, but who is responsible for the planning, management and organization of it, which generates a mental burden on the person in charge..2. All of them agree that, during the pandemic, the care tasks they carried out in their homes increased.3. The measure of cleanliness of the rooms taken by the national government meant a double damage for them: the loss of a care space and the increase in tasks from carrying out school activities, for which they did not feel qualified..4. The unequal distribution of care among the intervening actors, materialized in the social and political organization of care, reached the maximum point of familiarization, through the total absence of public offer of care by the municipal, provincial and national states and the prohibition of private supply for sanitary measures.5. They presented personal discomfort regarding the level of learning and the grades obtained..6. Regarding paid work, female participation and the hours dedicated to it present much lower levels than in men and to a greater extent when there are care responsibilities..7. By dedicating hours to care tasks, young women should organize their study time and paid work, as well as granting them (or not) space for recreational activities","Social isolation measures adopted by the national government in March 2020 with the slogan ""stay at home""","1. Inequality that throughout the analysis affects women in their trajectories and feelings, generating monetary and time poverty, influencing their autonomy and that, ultimately, are reproduced at the macrosocial level..2. A problem of a structural nature such as gender inequalities and the social, economic and health crisis fueled by the pandemic. The young women carried out direct and indirect care tasks, in an unpaid manner, for children in their homes",It does not specify,Spanish,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Qualitative study,0,0
4,"Travassos, Moreira, and Cortez 2020","The virus, the disease and the inequality",2020,Ambiente & sociedad.,"To dialogue with the perspective of environmental justice, discussing some impacts of territorial inequalities in the life and death of the people of São Paulo, due to the distribution of factors such as: characteristics, work, comorbidities, equipment and access to health, which maintains a center-periphery pattern.",Brazil,São Paulo,Review article,Narrative reflection,General population,NA,Geographic/Race,It does not directly measure inequalities (narrative synthesis),-Racial: Black/White/Brown.-Geographic: Municipalities,-Race/ethnicity/culture/language.-Place of residence,"1. Unequal access to health care, during life  and the pandemic, can also explain the relations between inequalities and comorbidities, aggravated in COVID-19 crisis..2. The epidemiological bulletin (weekly), show an interpretations of death data that may suggest different patterns of lethality, however, it is most likely that the difference between the maps is related to the highest and lowest testing - the district with the highest number of confirmed cases is the more tested..3. The data by race shows differences on deaths, with the incidence of death being 62% higher in black people and 23%, in brown ones, both compared to the white.",It is not mentioned in this article,"1. The data and discussion demonstrate how the infection by SARS-CoV 2 and the death resulting from COVID-19 overlap with other territorial inequalities in the municipality of São Paulo..2. Include the priority addressing of public policies for the peripheries, considering the integrated approach of plans, programs and actions, to achieve transformative agendas..",It does not specify,English,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Narrative reflection,0,1
5,Pacheco et al. 2021,Gender disparities in access to care for time-sensitive conditions during COVID-19 pandemic in Chile.,2021,BMC Public Health,To evaluate disparities between men and women in access to medical care in Chile during the COVID-19 pandemic,Chile,-,Original Research,Interrupted time series analysis,Confirmed cases of COVID-19,"n=327,477 cardiovascular events .n=137,700 cancer diagnoses",Gender,"1. Stratified analysis to test heterogeneity by gender and age group.2. Set of nine time-sensitive conditions included in the National Explicit Health Guarantees Regime (“AUGE”).3. Interrupted time-series analysis using a segmented regression. Fitted generalized linear models with a Negative Binomial distribution..4. As a sensitivity analysis, we fitted unadjusted and adjusted models for all cancers, after excluding sex-specific cancers (breast cancer, cervical cancer, and testicular).",Gender: Male/Female,-Gender/sex.-Personal characteristics associated with discrimination.-Time-dependent relationships,"1. Total of 156 weeks with 327,477 cardiovascular events (83,034 strokes and 244,443 myocardial infarction) and 137,700 cancer diagnoses (23,135 gastric cancers, 24,579 colorectal cancers, 5,290 lymphomas, 2535 leukemia, 42,143 cervical cancers, 37,443 breast cancers, and 2,575 testicular cancers) .2. Larger immediate reduction (level effect) for cancer conditions (0.323; 95% CI 0.291–0.359) compared to the cardiovascular events (0.586; 95% CI 0.564–0,609). - the post intervention slope was larger for cancer conditions (1.022; 95% CI 1.016–1.028) than cardiovascular events (1.009; 95% CI 1.007–1.011).3. Cancer conditions, a greater immediate reduction was observed in colorectal cancer (0.229; 95% CI 0.199–0.265), gastric cancer (0.306; 95% CI 0.253–0.371), cervical cancer (0.335; 95% CI 0.287–0.392) and breast cancer (0.336; 95% CI 0.293–0.385).  A greater post intervention slope was observed in colorectal cancer (1.036 95% CI 1.028–1.043), breast cancer (1.028 95% CI 1.021–1.036) and gastric cancer (1.022 95% 1.011–1.032)..4. The sensitivity analysis results are observed on table 1.",It is not mentioned in this article,1. Urgent need to integrate a gender perspective into the pandemic response..2. They demonstrate that women were far more affected compared to men. This differential effect by gender was observed for a broad group of time-sensitive conditions..3. The observed effect occurred in a set of severe time-sensitive conditions where care delays could worsen prognosis.,"National Agency for Research and Development (ANID), Scholarship program, DOCTORADO BECAS CHILE 2020–21200241 and COVID research fund ANID-COVID0960.",English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Interrupted time series analysis,2,0
6,Rezende et al. 2020,Adults at high-risk of severe coronavirus disease-2019 (Covid-19) in Brazil,2020,Saúde Pública,"To calculate the proportion and total number of the general adult population who may be at higher risk for severe Covid-19, based on routinely collected data from a nationwide, household-based survey in Brazil.",Brazil,-,Original Research,Cross-sectional observational study (survey),General population,"n=51,770",Ethnicity/Gender/Socieconomic,"It estimated the prevalence and 95% confidence intervals of adults at risk for severe Covid-19 (Criterion 1 and Criterion 2) by sex, education, race/ethnicity and Brazilian state.",-Race/ethnicity: White/Non-white.-Gender: Male/Female.-Education Level: None or incomplete primary education / Complete primary or incomplete secondary education / Complete secondary education or incomplete.-Undergraduate course / University Graduate,-Education.-Gender/sex.-Race/ethnicity/culture/language,"1.  Compared with younger participants, older adults (= 65 years) were less educated, more likely women, white and presented higher  prevalence of risk factors for severe Covid-19, except for smoking. .2. Prevalence of one or more risk factors for severe illness was 47.3% in younger vs 75.9% in older adults..3. Proportion and total number of adults at risk for severe Covid-19 in Brazil varied from 34.0% (53 million adults) to 54.5% (86 million adults): see Table 3. .4. Overall, 46% of the sample presented no risk factor, 30.0% with one, 15.0% with two, and 9% with 3 or more risk factors for severe illness. .5. Sensitivity analyses considering older adults = 60 years and = 70 years suggested that prevalence could vary from 36.7%–56.2% to 32.3%–53.3%: see Table 4..6. It found no differences in prevalence estimates by sex and race/ethnicity.7. The highest prevalence was 39.5%–58.4% in Rio Grande do Sul, followed by 36.0–55.8% in Rio de Janeiro and 35.6%–58.2% in São Paulo. The lowest prevalence was found in Amapá (23.4%–45.9%), followed by Roraima (25.0%–48.6%) and Amazonas (25.1%–48.7%). .8. The highest number of adults at risk of severe illness was found in São Paulo (17-21 million), Minas Gerais (6–9 million) and Rio de Janeiro (5–7 million): See Table 5.",It is not mentioned in this article,"1. It estimated that a third (53 million) to over a half (86 million) of Brazilian adults present at least one risk factor for severe Covid-19..2. Less educated adults present 2-fold higher prevalence of risk factors compared with university graduated..3. Proportion and total number of adults at risk of severe Covid-19 is high in Brazil, with wide variation across states and adult subgroups.",It does not specify,English,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cross-sectional observational study (survey),0,1
7,"Alves, Souza, and Caló 2021",Poor sanitation and transmission of COVID-19 in Brazil,2021,Sao Paulo Medical Journal,"To analyze in the context of iniquities in Brazil (comparing these with the situation in other countries). A bibliographic search of texts relating to basic sanitation, socioeconomic development and transmission of COVID-19 in Brazil and worldwide was conducted.",Brazil,"Rio de Janeiro, Kuwait",Review article,Review,General population,NA,Geographic/Socieconomic,It does not directly measure inequalities (narrative synthesis),NA,-Place of residence.,"1. That vulnerabilities and the risk of transmission of COVID-19 transcend national and international scales..2. In Rio de Janeiro, it was observed that initially the neighborhoods in the South Zone were the most affected by the disease. The districts of the North Zone (in general, of lower-income populations) showed higher mortality rates due to COVID-19, which may have reflected a lack of access to healthcare services..3. Hand hygiene, a preventive measure for COVID-19, is still a privilege in Brazil, since in several regions of the country, many homes do not have access to water and basic sanitation.",It is not mentioned in this article,"1. Understanding the social conditions under which individuals live is central for implementing public policies based on solidarity, social rights and democracy, so as to ensure healthier socio-spatial environments and enable reduction of the effects of the pandemic. .2. It is necessary to analyze the information regarding the pandemic in terms of race/color, income and other social determinants, thus making it possible to have differentiated actions for the places, areas and regions of greatest vulnerability.",It does not specify,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Review,0,0
8,Hernández-Vásquez et al. 2020,Exceso de mortalidad en Lima Metropolitana durante la pandemia de COVID-19: comparación a nivel distrital,2020,Debate sobre salud,"To compare excess deaths according to district quintiles of the Human Development Index (HDI) in Metropolitan Lima, capital of Peru, and analyze the socioeconomic factors associated with excess deaths in the context of COVID-19.",Peru,Lima and Callao,Original Research,Retrospective cohort study,General population,"n=20,093 non-violent deaths .n=2,979 confirmed deaths from COVID-19",Health/Socioeconomic,"1. Descriptive analysis was performed using contingency tables and time series graphs by sex, age group, and quintile of the district of residence according to the Human Development Index (HDI).2. Presence of trends in the time series of excess mortality was evaluated using the Kwiatkowski-Phillips-Schmidt-Shin test (KPSS).3. Negative binomial regression model was performed to identify possible explanatory factors for excess mortality",-The Human Development Index.-Gender: Male/Female.-Population density.-Percentage of the population in poverty and extreme poverty.-Inhabitants over 60 years of age.-The self-identified Afro-Peruvian population.-The population working in the same district.-Houses with access to water from the public network with a computer and internet access,-Gender/sex.-Socioeconomic status.-Place of residence,"1. 20 093 non-violent deaths and 2979 confirmed deaths from COVID-19 were registered in Metropolitan Lima.2. The most affected group was that of men aged 60 and over residing in the districts of the third quintile according to the HDI, with 20 969 excess deaths per million inhabitants.3. In the 12 to 17 age group, only those residing in districts of the first quintile, according to the HDI, presented an increasing trend of excess mortality (p = 0.028). This was also observed in the residents of the districts of the second (p < 0.01) and third (p < 0.01) quintiles according to the HDI in the age group of 18 to 29 years. An increasing trend in excess deaths was detected in all quintiles for people aged 30 to 59 and 60 and over. .4. Socioeconomic characteristics of the districts, it should be noted that self-identification of the inhabitants as Afro-Peruvian was highest in the districts of East Lima, where 34.48% of the inhabitants of Pachacamac self-identified as Afro-Peruvian, closely followed by 31.26 % of Lurigancho and 30.30% in Cieneguilla and Ate..5. Five explanatory variables with significant individual contribution were selected, of which the multivariate analysis revealed that the HDI (relative risk: 0.02; 95% confidence interval: 0.00 to 0.35; p = 0.009) and the percentage of inhabitants in a situation of extreme poverty (relative risk: 0.57; 95% confidence interval: 0.37 to 0.89; p = 0.014) significantly decreased the rate of excess mortality in Metropolitan Lima: See Table 3.",It is not mentioned in this article,"1. This excess was greater in the quintiles of districts with the lowest HDI, in men, and people 60 or older. .2. Excess mortality beyond non-violent deaths caused by COVID-19 can be attributed to the catastrophic indirect impact of the disease on health systems, leading to neglect of other life-threatening diseases or conditions, as well as the large socioeconomic differences of the Peruvian population, even within Metropolitan Lima, which leads to a breach of compulsory isolation..3. The impact of the pandemic on health and the role of the economy in its outcomes should not be underestimated and should lead the government to take specific measures to reduce gaps in social and economic inequality, as well as to push investments to improve the Peruvian health system",It does not specify,English,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Retrospective cohort study,1,0
9,Cifuentes et al. 2021,Socioeconomic inequalities associated with mortality for COVID-19 in Colombia: A cohort nationwide study,2021,Estudos Históricos Rio de Janeiro.,To identify the effect of some socioeconomic inequality-related factors on COVID-19 mortality in Colombia.,Colombia,-,Original Research,Retrospective cohort study,Confirmed cases of COVID-19,"n = 1'033,218 confirmed cases and 30,565 deaths for COVID-19 between 2 March 2020 to 26 October 2020 (Data from the national public health surveillance system (SIVIGILA) of the National Institute of Health)",Socioeconomic/Ethnicity/Geographic,"1. Exploratory customary descriptions for distributions of continuous time-to-death variable and all categorical predictors, for the different outcomes (dead, recovered and censored) included means, medians, frequencies and percentages..2. Testing of proportional hazards assumption for all the predictors using hypothesis tests (p values of terms addressing time dependent factors) and graphs (Log minus log plots and partial residuals plots from models with no interaction terms). Using an extended multipredictor time-dependent Cox regression model, sex were dependent on time. .4. Survival functions were calculated using the Kaplan-Meier method..","-Age.-Gender: Male/Female.-Ethnicity: White, mestizo, other/ African-Colombian/ Indigenous/Gipsy-Roman /Raizal.-Type of health insurance: Contributory/ Subsidised/ Special/ Exception/ Uninsured/ Unknown or pending insurance.-Area of residence: Urban / Semirural (village) / Sparse rural / Unknown area.-Socioeconomic strata:  1 very low/ 2 low/ 3 middle low/ 4 middle/ 5 middle high/ 6 high / Non-registered strata","-Race/ethnicity/culture/language.-Socioeconomic status .-Personal characteristics associated with discrimination (e.g. age, disability)","1. Most confirmed COVID-19 cases were male, between 27 and 45 years old, living in urban areas, with the contributory regimen of health insurance, and living in residences that belong to the two lower levels of socioeconomic strata..2. The instantaneous risk of dying for COVID-19 among confirmed cases is 59% higher in males compared with females, 27% higher in indigenous people compared with whites/mestizos, and 97% higher in people with subsidised health insurance regime compared with contributory..3. There was evidence of a dose–response pattern by life-course age groups and SES levels..4. The instantaneous risk of death for people with confirmed diagnosis of COVID-19 living in the very low SES increases by 73% compared with the risk of people living in the high SES (HR 1.73 95% CI 1.48 to 2.04). .5. Living in a sparse rural area decreased the risk of mortality for COVID-19 (HR 0.83 95% CI 0.76 to 0.91).",It is not mentioned in this article,"1. It provides evidence of demographic and socioeconomic inequalities in COVID-19 mortality in terms of age groups, sex, ethnicity, type of health insurance regimen and socio-economic strata..2. This is the first nationwide cohort study to examine socioeconomic and demographic disparities in time to COVID-19 mortality in Latin America..3. Being male, older than 60 years old, belonging to the subsidised health insurance regime, being indigenous and living in a residence in a very low or low socioeconomic strata shortened the time to death for COVID-19 among confirmed cases in Colombia..4. There was evidence of a dose–response pattern by age groups and socioeconomic strata..5. These results provide evidence to help support the prioritisation of public health interventions for COVID-19 prevention and detection in Colombia such as testing, contact tracing and vaccination directed to the more vulnerable groups according to the unequal mortality risks.",The Direction of Epidemiology and Demography of the Ministry of Health and Social Protection of Colombia.,English,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Retrospective cohort study,1,1
10,"Jara, Montesdeoca, and Tasseva 2021",The Role of Automatic Stabilizers and Emergency Tax–Benefit Policies During the COVID-19 Pandemic: Evidence from Ecuador,2021,Saúde e Sociedade,To quantify the distributional effects of COVID-19 in Ecuador and the role of tax and benefit policies in mitigating the immediate impact of economic shocks.,Ecuador,-,Original Research,Cross-sectional observational study (survey),General population,"n=17,001 households / n=59,183 individuals",Labour/Socioeconomic,"1. The tax–benefit microsimulation model for Ecuador, which combines detailed country-specific coded policy rules with household survey microdata to simulate direct and indirect taxes, social insurance contributions (SICs), and cash transfers for the household population of Ecuador..2. The GINI index.3. The Theil index",Occupation: Formal earner/Informal earner/Formal non-earner/Informal non-earner/Unemployed/Inactive,-Occupation.-Socioeconomic status,"1. The striking effect of the COVID-19 pandemic and lockdown measures in the Ecuadorian labour market. The total number of people in (un)paid work decreased by 15% (from 7.8 to 6.5 million), while a large fraction of earners who remained in work lost their earnings..2. Inactivity also increased, by around 10%. .3. Transitions from paid to unpaid work (i.e. earner to non-earner) or from work to unemployment/ inactivity are the most likely channel of labour market changes during the period when the economy was hit the hardest by the pandemic..4. The largest decrease in the number of earners (formal and informal) is observed in the wholesale and retail trade sector, with a drop of 549,000 earners..5. The results for agriculture and fishing highlight the importance of data availability to capture accurately the labour market changes under the COVID-19 pandemic..6. The decrease was particularly important for formal self-employed workers, amounting to a 66% reduction (from US$466.3 to US$158.0) in mean monthly earnings, compared to a 5% reduction (from US$691.5 to US$655.7) for formal employees..7. Inequality measured by the Gini coefficient increases from 0.461 to 0.592, whereas the Theil index increases from 0.395 to 0.601..8. As a result of the crisis, the poverty headcount increases substantially by 32.5 pp, meaning that 58.2% of the population are below the national poverty line in May/June 2020 compared to 25.7% in December 2019. Extreme poverty also increases strikingly, by 29.4 pp (from 9.2 to 38.6%). Significant and sharp increases are also observed in terms of the (extreme) poverty gap, which increases from 9.6% (3.6%) to 34.1%.",Policy Measures in Response to COVID-19,"1. The changes reflect the difference between the pre-COVID and the COVID scenarios, where the COVID scenario takes into account the role of the health emergency Family Protection Grant introduced by the Ecuadorian government. The change in disposable income is decomposed into the effects of: (i) earnings losses, (ii) automatic stabilizers, and (iii) COVID-related benefits..2. The COVID-related Family Protection Grant has, on average, a very small effect in mitigating the impact of the crisis in Ecuador..3. A dramatic increase in income poverty and inequality between December 2019 and June 2020. The national poverty headcount increases from 25.7 to 58.2%, the extreme poverty headcount from 9.2 to 38.6%, and the Gini coefficient from 0.461 to 0.592..4. From a policy perspective, our study highlights the need to rethink and enhance social protection in Ecuador and the region. In particular, the lack of benefits acting as automatic stabilizers is a limitation of many countries in the region that rely on proxy means-tested benefits as the main schemes for social protection.",UNU-WIDER project SOUTHMOD. The programme is financed through specific contributions by the Norwegian Agency for Development Cooperation (Norad).,English,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Cross-sectional observational study (survey),0,0
